,train_internal,val_internal,test_internal,test_external
bootstrap_rmse,5.530650550638333,5.265359162809229,6.35185829932634,5.228919705215802
bootstrap_rmse_ci_lower,4.676459127006354,4.201432185612404,4.652972139747482,4.382904503199699
bootstrap_rmse_ci_upper,6.589919250002836,6.276418440346667,8.234149786651322,6.136766399439339
bootstrap_mae,4.369834999536008,4.472671988830117,5.066081916669316,4.098492674583641
bootstrap_mae_ci_lower,3.7587416789856003,3.4657078772084318,3.636149297733757,3.322257598506166
bootstrap_mae_ci_upper,5.043332910593583,5.53419100694292,6.68586807643714,4.895343425525032
bootstrap_correlation,0.582459028683866,0.6186343874012298,0.5130596685305316,0.3642337508879845
bootstrap_correlation_ci_lower,0.45323981940828634,0.3448521946154458,0.20555431581221503,0.13728337880808805
bootstrap_correlation_ci_upper,0.6864322144387586,0.806339091915359,0.7578277876375091,0.566640093747205
rmse,5.543287330068626,5.309122310858478,6.4401689975934096,5.241465758304825
mae,4.363780343675414,4.490363766765474,5.072313580603635,4.094012878609903
correlation,0.5890078865844558,0.6428966100482347,0.5324898322159513,0.3736529305873558
correlation_p_value,1.4825257720369804e-12,0.00039695929655641013,0.005103924566727363,0.000885002423360382
bootstrap_balanced_accuracy_10,72.82967954030394,84.5810381119998,53.6064882411041,57.570829854061664
bootstrap_balanced_accuracy_10_ci_lower,64.40556437367196,68.4840367965368,34.523809523809526,48.69471108601544
bootstrap_balanced_accuracy_10_ci_upper,80.74577067669173,96.875,73.8562091503268,66.194275617675
bootstrap_accuracy_10,72.44916666666666,84.59615384615385,53.86923076923076,48.56710526315789
bootstrap_accuracy_10_ci_lower,64.16666666666667,69.23076923076923,34.61538461538461,36.84210526315789
bootstrap_accuracy_10_ci_upper,80.83333333333333,96.15384615384616,73.07692307692307,59.210526315789465
bootstrap_sensitivity_10,67.23164756826174,85.83213755242006,57.23063083808625,26.553694956692347
bootstrap_sensitivity_10_ci_lower,55.73770491803278,66.66666666666666,30.76923076923077,15.217391304347828
bootstrap_sensitivity_10_ci_upper,78.46428571428571,100.0,83.33333333333334,39.22487745098039
bootstrap_specificity_10,78.42771151234615,83.32993867157953,49.98234564412196,88.58796475143099
bootstrap_specificity_10_ci_lower,67.19945355191258,57.14285714285714,22.22222222222222,75.0
bootstrap_specificity_10_ci_upper,88.70967741935483,100.0,78.57142857142857,100.0
optimal_threshold_for_10,11.738065079471017,11.738065079471017,11.738065079471017,11.738065079471017
auc_10,77.70647321428571,86.3095238095238,72.02380952380952,66.81783824640968
bootstrap_auc_10,77.6406123757625,86.33327158651461,71.8447025291652,66.72043335478614
bootstrap_auc_10_ci_lower,68.41512036171665,67.24702380952382,48.35508759716905,54.53687455954898
bootstrap_auc_10_ci_upper,85.15840434419383,100.0,90.63616071428571,78.66875
accuracy_10,72.5,84.61538461538461,53.84615384615385,48.68421052631579
balanced_accuracy_10,72.87946428571428,84.52380952380952,53.57142857142857,57.709750566893426
sensitivity_10,67.1875,85.71428571428571,57.14285714285714,26.53061224489796
specificity_10,78.57142857142857,83.33333333333334,50.0,88.88888888888889
f1_10,72.26890756302521,85.71428571428571,57.14285714285714,40.0
bootstrap_balanced_accuracy_16,77.26994219189214,70.79025125203464,81.76112738082091,58.480803797867196
bootstrap_balanced_accuracy_16_ci_lower,68.21157419111175,49.30208333333334,62.02067669172933,47.67786397345824
bootstrap_balanced_accuracy_16_ci_upper,85.5043647730781,88.64015151515152,95.65217391304348,70.3185775667119
bootstrap_accuracy_16,76.44500000000001,69.18846153846152,80.46153846153847,74.78026315789475
bootstrap_accuracy_16_ci_lower,68.33333333333333,50.0,61.53846153846154,64.47368421052632
bootstrap_accuracy_16_ci_upper,84.16666666666667,84.71153846153838,96.15384615384616,84.21052631578947
bootstrap_sensitivity_16,79.20422839526017,74.80395063270063,84.67428418803419,29.10325103710344
bootstrap_sensitivity_16_ci_lower,64.51036866359448,40.0,50.0,8.333333333333332
bootstrap_sensitivity_16_ci_upper,91.67229729729729,100.0,100.0,50.0
bootstrap_specificity_16,75.33565598852412,66.77655187136862,78.84797057360761,87.85835655863097
bootstrap_specificity_16_ci_lower,65.90842245989305,44.42708333333334,57.89473684210527,78.68559718969556
bootstrap_specificity_16_ci_upper,84.27632341017028,87.51838235294116,95.0,95.23995535714285
optimal_threshold_for_16,12.493908085497447,12.493908085497447,12.493908085497447,12.493908085497447
auc_16,81.01915184678523,79.16666666666666,87.21804511278195,68.59421734795613
bootstrap_auc_16,80.81231693344878,79.16240997403044,87.02431650834644,68.3924882613422
bootstrap_auc_16_ci_lower,72.23313409445169,58.82169117647058,70.0,51.941438191438195
bootstrap_auc_16_ci_upper,88.36537659152675,94.65178571428571,98.79734848484848,82.42416965505464
accuracy_16,76.66666666666667,69.23076923076923,80.76923076923077,75.0
balanced_accuracy_16,77.49658002735977,70.83333333333333,82.33082706766916,58.77367896311066
sensitivity_16,79.41176470588235,75.0,85.71428571428571,29.411764705882355
specificity_16,75.5813953488372,66.66666666666666,78.94736842105263,88.13559322033898
f1_16,65.85365853658537,60.0,70.58823529411765,34.48275862068966
