,train_internal,val_internal,test_internal,test_external
bootstrap_rmse,5.265846835729021,5.292978489044734,5.011182402542115,3.8025592309748046
bootstrap_rmse_ci_lower,4.32039677097324,3.840460827070376,3.2597983486062163,3.1995538310455918
bootstrap_rmse_ci_upper,6.279429810381414,6.886969736260239,7.0719754680009785,4.429662459784739
bootstrap_mae,4.07617767933309,4.248501071534594,3.6526379460345444,2.9623143763803177
bootstrap_mae_ci_lower,3.4697988317913064,3.1091299912515633,2.4297200121968383,2.418195998516255
bootstrap_mae_ci_upper,4.708582834373025,5.620910362452962,5.113517814734177,3.5573639015806746
bootstrap_correlation,0.6796172091403347,0.5975915996353811,0.7521919056594438,0.5970690059311109
bootstrap_correlation_ci_lower,0.5759654096247925,0.3395138770895407,0.49027964099347593,0.4287660498294868
bootstrap_correlation_ci_upper,0.769561255288919,0.7771466688865342,0.9125075585722067,0.7406612713231231
rmse,5.270415759030841,5.3604330860473235,5.039485930743173,3.8117299205480335
mae,4.062069570276331,4.243437456234677,3.620705459695008,2.959487737667751
correlation,0.6840718723891637,0.6175236238383311,0.7605038299130584,0.6034751131157391
correlation_p_value,7.193495158856665e-18,0.0007764769478718195,6.515693979484115e-06,7.925623217376974e-09
bootstrap_balanced_accuracy_10,75.33569056561802,92.31006151063157,82.01059884925016,76.77892954099597
bootstrap_balanced_accuracy_10_ci_lower,67.2851571063208,80.76562500000001,67.26190476190476,67.01726864706254
bootstrap_balanced_accuracy_10_ci_upper,82.92443103771228,100.0,96.15384615384616,86.84807256235827
bootstrap_accuracy_10,75.96916666666668,92.33076923076923,81.12307692307694,81.76184210526316
bootstrap_accuracy_10_ci_lower,68.33333333333333,80.76923076923077,65.38461538461539,72.36842105263158
bootstrap_accuracy_10_ci_upper,83.33333333333334,100.0,96.15384615384616,90.78947368421053
bootstrap_sensitivity_10,84.32474560435782,92.83451674372576,72.15430326639304,93.91470098525419
bootstrap_sensitivity_10_ci_lower,75.0,75.0,46.136363636363654,86.53186274509805
bootstrap_sensitivity_10_ci_upper,92.42706919945725,100.0,93.75919117647058,100.0
bootstrap_specificity_10,66.34663552687825,91.78560627753741,91.86689443210729,59.64315809673776
bootstrap_specificity_10_ci_lower,53.06122448979592,72.72727272727273,74.95833333333337,41.6594827586207
bootstrap_specificity_10_ci_upper,78.72647299509,100.0,100.0,78.26863354037266
optimal_threshold_for_10,10.508659193321183,10.508659193321183,10.508659193321183,10.508659193321183
auc_10,82.42187500000001,90.47619047619048,89.88095238095238,80.95238095238095
bootstrap_auc_10,82.40603967848197,90.54006848425446,90.1900604176393,81.10872122473249
bootstrap_auc_10_ci_lower,74.62347257743677,73.7483552631579,75.67708333333336,68.74782095980314
bootstrap_auc_10_ci_upper,89.33524894438207,100.0,100.0,92.12247474747474
accuracy_10,75.83333333333333,92.3076923076923,80.76923076923077,81.57894736842105
balanced_accuracy_10,75.22321428571428,92.26190476190477,81.54761904761905,76.56840513983371
sensitivity_10,84.375,92.85714285714286,71.42857142857143,93.87755102040816
specificity_10,66.07142857142857,91.66666666666666,91.66666666666666,59.25925925925925
f1_10,78.83211678832117,92.85714285714286,80.0,86.79245283018868
bootstrap_balanced_accuracy_16,78.30524506000901,71.46831023336081,94.73150087608694,61.632434163810444
bootstrap_balanced_accuracy_16_ci_lower,70.1733926128591,51.62438725490196,87.5,48.9556393678161
bootstrap_balanced_accuracy_16_ci_upper,85.65393863671447,88.24095022624434,100.0,73.85038711443049
bootstrap_accuracy_16,76.58916666666667,69.83461538461539,92.28846153846156,56.64736842105263
bootstrap_accuracy_16_ci_lower,68.33333333333333,53.84615384615385,80.76923076923077,46.05263157894737
bootstrap_accuracy_16_ci_upper,83.35416666666666,84.61538461538461,100.0,68.42105263157895
bootstrap_sensitivity_16,82.28138355725558,75.55588591963593,100.0,70.6657752471513
bootstrap_sensitivity_16_ci_lower,69.6969696969697,41.62500000000004,100.0,47.36068111455109
bootstrap_sensitivity_16_ci_upper,94.28571428571428,100.0,100.0,91.68269230769229
bootstrap_specificity_16,74.32910656276245,67.38073454708571,89.46684790602004,52.599093080469586
bootstrap_specificity_16_ci_lower,64.55594120049,44.42708333333334,75.0,40.609375000000014
bootstrap_specificity_16_ci_upper,83.13316423589093,87.5,100.0,66.03933482571153
optimal_threshold_for_16,12.476033316166326,12.476033316166326,12.476033316166326,12.476033316166326
auc_16,82.83173734610124,81.94444444444446,97.74436090225565,69.89032901296112
bootstrap_auc_16,82.79456704001731,82.48222586222667,97.76265792226934,69.85472604318917
bootstrap_auc_16_ci_lower,74.7109134255914,64.16380718954248,90.97744360902256,57.37547892720306
bootstrap_auc_16_ci_upper,90.32058516233039,96.0812324929972,100.0,81.93076081007115
accuracy_16,76.66666666666667,69.23076923076923,92.3076923076923,56.57894736842105
balanced_accuracy_16,78.38577291381668,70.83333333333333,94.73684210526316,61.56530408773679
sensitivity_16,82.35294117647058,75.0,100.0,70.58823529411765
specificity_16,74.4186046511628,66.66666666666666,89.47368421052632,52.54237288135594
f1_16,66.66666666666666,60.0,87.5,42.10526315789473
