,train_bjn,val_bjn,test_bjn,test_hug
bootstrap_rmse,5.422238266059827,5.741722975436104,4.850477329677199,3.768823693985955
bootstrap_rmse_ci_lower,4.478005425863771,4.301330739544028,3.3801052092799533,3.2030375125430917
bootstrap_rmse_ci_upper,6.471491205116648,7.143141949273959,6.654397767946459,4.344178054070509
bootstrap_mae,4.1009031396711935,4.5893322636396805,3.7538761600184563,2.9974594580288274
bootstrap_mae_ci_lower,3.4691773330597586,3.3751331079896665,2.6854140036835843,2.4635715622101975
bootstrap_mae_ci_upper,4.757822230607074,5.961681761979466,5.103244084087022,3.547619045090209
bootstrap_correlation,0.6321632489315452,0.45232996847450807,0.7486163659562223,0.5989484437747618
bootstrap_correlation_ci_lower,0.513092815384013,0.08670429943503742,0.5299387876250818,0.4186113628454405
bootstrap_correlation_ci_upper,0.7354097638147109,0.7405746404700868,0.8940678365067816,0.7366043700102658
rmse,5.444544548181028,5.769385569977553,4.976955018963068,3.774892791560015
mae,4.099439719314039,4.5776751837065595,3.7827087279408786,2.9925631247365523
correlation,0.6360738454596703,0.4683716103071406,0.7666756373695215,0.6061066648240793
correlation_p_value,5.895910457894481e-15,0.015810798600197785,4.932192598452154e-06,6.555704210232083e-09
bootstrap_balanced_accuracy_10,76.6364865061833,81.2050657712171,85.01857003097521,76.17613308320614
bootstrap_balanced_accuracy_10_ci_lower,68.74631734006734,63.12367238562091,68.94607843137256,65.53846153846153
bootstrap_balanced_accuracy_10_ci_upper,84.01933583913883,95.83333333333333,97.05882352941177,85.22434251797519
bootstrap_accuracy_10,76.72583333333334,80.90384615384617,85.13461538461542,73.56052631578947
bootstrap_accuracy_10_ci_lower,69.16666666666667,61.53846153846154,69.23076923076923,63.1578947368421
bootstrap_accuracy_10_ci_upper,84.16666666666667,96.15384615384616,96.15384615384616,82.89473684210526
bootstrap_sensitivity_10,78.01899537074254,78.52150014201483,86.382568927031,67.3613341993418
bootstrap_sensitivity_10_ci_lower,66.6549295774648,52.94117647058824,66.66666666666666,53.842592592592595
bootstrap_sensitivity_10_ci_upper,87.10189452124936,100.0,100.0,80.70344129554655
bootstrap_specificity_10,75.25397764162408,83.88863140041933,83.65457113491944,84.99093196707045
bootstrap_specificity_10_ci_lower,63.491300366300365,59.970588235294144,58.333333333333336,70.0
bootstrap_specificity_10_ci_upper,86.36363636363636,100.0,100.0,96.29629629629629
optimal_threshold_for_10,11.536509866825408,11.536509866825408,11.536509866825408,11.536509866825408
auc_10,81.61272321428571,82.14285714285715,88.69047619047619,79.51625094482237
bootstrap_auc_10,81.75606458593109,82.20947409145656,89.03994326340286,79.40781109576324
bootstrap_auc_10_ci_lower,74.01498945932539,63.30889423076924,73.11640162721893,65.97913526205939
bootstrap_auc_10_ci_upper,88.6749057112069,97.05002513826042,99.34795219863092,91.04072645451623
accuracy_10,76.66666666666667,80.76923076923077,84.61538461538461,73.68421052631578
balanced_accuracy_10,76.5625,80.95238095238095,84.52380952380952,76.26606198034769
sensitivity_10,78.125,78.57142857142857,85.71428571428571,67.3469387755102
specificity_10,75.0,83.33333333333334,83.33333333333334,85.18518518518519
f1_10,78.125,81.48148148148148,85.71428571428571,76.74418604651163
bootstrap_balanced_accuracy_16,72.32686618244581,76.97428520004732,81.55257445929358,75.60980573386603
bootstrap_balanced_accuracy_16_ci_lower,63.91801075268817,58.251879699248136,70.0,64.9536338536837
bootstrap_balanced_accuracy_16_ci_upper,79.92037345506238,91.17647058823529,92.5,84.37628073770492
bootstrap_accuracy_16,66.71000000000001,73.03461538461538,73.08461538461538,68.56184210526317
bootstrap_accuracy_16_ci_lower,58.333333333333336,53.84615384615385,53.84615384615385,57.89473684210527
bootstrap_accuracy_16_ci_upper,75.0,88.46153846153845,88.46153846153845,77.66447368421049
bootstrap_sensitivity_16,85.25536557871696,87.27289793539794,100.0,88.48840087711243
bootstrap_sensitivity_16_ci_lower,72.08757267441861,57.14285714285714,100.0,69.21875
bootstrap_sensitivity_16_ci_upper,96.875,100.0,100.0,100.0
bootstrap_specificity_16,59.39836678617467,66.67567246469673,63.105148918587126,62.731210590619625
bootstrap_specificity_16_ci_lower,48.837209302325576,42.10526315789473,40.0,50.0
bootstrap_specificity_16_ci_upper,69.33529411764707,88.23529411764706,85.0,74.1393214682981
optimal_threshold_for_16,11.536509866825408,11.536509866825408,11.536509866825408,11.536509866825408
auc_16,77.83857729138167,72.91666666666667,93.23308270676691,74.0777666999003
bootstrap_auc_16,77.89329522485704,72.69864248819064,93.02751477549907,74.26174846497202
bootstrap_auc_16_ci_lower,68.28761740645358,46.664772727272734,77.77272727272728,62.62248121584699
bootstrap_auc_16_ci_upper,86.82488742142166,93.18309979494191,100.0,83.94339951236502
accuracy_16,66.66666666666666,73.07692307692307,73.07692307692307,68.42105263157895
balanced_accuracy_16,72.29822161422709,77.08333333333333,81.57894736842105,75.47357926221336
sensitivity_16,85.29411764705883,87.5,100.0,88.23529411764706
specificity_16,59.30232558139535,66.66666666666666,63.1578947368421,62.71186440677966
f1_16,59.183673469387756,66.66666666666666,66.66666666666666,55.55555555555556
