,train_internal,val_internal,test_internal,test_external
bootstrap_rmse,4.551559774820193,5.388455733855652,4.5421458268472685,4.166231188745467
bootstrap_rmse_ci_lower,3.8842103998840183,4.109711833560737,3.260730050724302,3.507685294076092
bootstrap_rmse_ci_upper,5.2360766294551375,6.618787139595924,5.7363050190063545,4.8689512629920575
bootstrap_mae,3.5933030035579048,4.5121559792033095,3.504174337655857,3.363495500244681
bootstrap_mae_ci_lower,3.0854153659465684,3.392842115301111,2.419848086697013,2.8356244586250376
bootstrap_mae_ci_upper,4.130126839457806,5.7112801604218735,4.6801326163702015,3.9248589792652555
bootstrap_correlation,0.7270192872297944,0.6021361570222807,0.7172518233751141,0.5171932785904366
bootstrap_correlation_ci_lower,0.6343968611496573,0.28438349905981575,0.4129001378056579,0.3270865663068179
bootstrap_correlation_ci_upper,0.8035499461435638,0.8102650719690335,0.9092893809950066,0.6801957354724412
rmse,4.568804794263455,5.435123522691663,4.606158324643195,4.176661358458803
mae,3.601161776692632,4.518081976922199,3.51261763459761,3.3677045606798024
correlation,0.7317255905971136,0.6254098222549228,0.7382167474313863,0.5269545235966572
correlation_p_value,2.2598795397453517e-21,0.0006342469974785984,1.6696926351909593e-05,1.0075420325431767e-06
bootstrap_balanced_accuracy_10,78.72800684644498,83.79571244287189,68.38548900898871,69.78512846479816
bootstrap_balanced_accuracy_10_ci_lower,71.35224891959076,68.75,49.98511904761906,58.76897773279354
bootstrap_balanced_accuracy_10_ci_upper,85.44095010168424,96.42857142857143,85.11904761904762,80.30869236583523
bootstrap_accuracy_10,79.3075,84.36538461538464,69.24230769230769,70.82236842105263
bootstrap_accuracy_10_ci_lower,71.66666666666667,69.23076923076923,50.0,60.526315789473685
bootstrap_accuracy_10_ci_upper,85.83333333333333,96.15384615384616,84.61538461538461,81.57894736842105
bootstrap_sensitivity_10,87.55316746638633,92.66120824565871,78.36481413155427,73.42032788937729
bootstrap_sensitivity_10_ci_lower,78.78539493293592,76.47058823529412,54.54545454545454,60.0
bootstrap_sensitivity_10_ci_upper,94.82758620689656,100.0,100.0,86.54166666666667
bootstrap_specificity_10,69.90284622650364,74.93021664008506,58.40616388642318,66.14992904021904
bootstrap_specificity_10_ci_lower,57.89473684210527,50.0,25.0,47.82091097308489
bootstrap_specificity_10_ci_upper,81.03564771668219,100.0,87.5,82.75862068965517
optimal_threshold_for_10,10.150786575088006,10.150786575088006,10.150786575088006,10.150786575088006
auc_10,86.07700892857143,88.69047619047619,80.35714285714286,77.32426303854876
bootstrap_auc_10,86.17967925858636,88.5838796377837,80.33299478620071,76.95369108249416
bootstrap_auc_10_ci_lower,79.19199635241301,72.02380952380952,58.64494816923966,64.24172335600908
bootstrap_auc_10_ci_upper,92.50941019449941,99.40828402366864,96.43105158730158,88.46354166666666
accuracy_10,79.16666666666666,84.61538461538461,69.23076923076923,71.05263157894737
balanced_accuracy_10,78.57142857142857,83.92857142857143,68.45238095238095,70.06802721088435
sensitivity_10,87.5,92.85714285714286,78.57142857142857,73.46938775510205
specificity_10,69.64285714285714,75.0,58.333333333333336,66.66666666666666
f1_10,81.75182481751825,86.66666666666667,73.33333333333333,76.59574468085107
bootstrap_balanced_accuracy_16,81.9342609446296,64.42023887480507,92.00073513111938,78.36638266866582
bootstrap_balanced_accuracy_16_ci_lower,74.0027619949495,42.810457516339866,82.35294117647058,66.42222872755661
bootstrap_balanced_accuracy_16_ci_upper,89.5337383222546,85.00735294117646,100.0,88.52576112412179
bootstrap_accuracy_16,81.72999999999999,65.34230769230768,88.41923076923078,76.13947368421053
bootstrap_accuracy_16_ci_lower,75.0,46.15384615384615,73.07692307692307,65.78947368421053
bootstrap_accuracy_16_ci_upper,88.33333333333333,84.61538461538461,100.0,85.52631578947368
bootstrap_sensitivity_16,82.44639267067257,62.14148823398823,100.0,82.3471352464905
bootstrap_sensitivity_16_ci_lower,67.74193548387096,25.0,100.0,61.53846153846154
bootstrap_sensitivity_16_ci_upper,94.11764705882352,100.0,100.0,100.0
bootstrap_specificity_16,81.42212921858666,66.6989895156219,84.00147026223877,74.38563009084116
bootstrap_specificity_16_ci_lower,73.07692307692307,44.44444444444444,64.70588235294117,62.74426719840479
bootstrap_specificity_16_ci_upper,89.15889363907242,88.23529411764706,100.0,84.7457627118644
optimal_threshold_for_16,12.840861326170867,12.840861326170867,12.840861326170867,12.840861326170867
auc_16,86.2859097127223,69.44444444444444,93.98496240601504,76.17148554336988
bootstrap_auc_16,86.25424533308903,69.39951126160342,93.93133859104643,75.9584825240926
bootstrap_auc_16_ci_lower,78.8562820321441,46.41447368421054,82.6388888888889,63.05793712062727
bootstrap_auc_16_ci_upper,92.81856092631365,89.17708333333333,100.0,87.89281292691257
accuracy_16,81.66666666666667,65.38461538461539,88.46153846153845,76.31578947368422
balanced_accuracy_16,81.87414500683994,64.58333333333333,92.10526315789474,78.46460618145564
sensitivity_16,82.35294117647058,62.5,100.0,82.35294117647058
specificity_16,81.3953488372093,66.66666666666666,84.21052631578947,74.57627118644068
f1_16,71.7948717948718,52.63157894736842,82.35294117647058,60.86956521739131
