,train_bjn,val_bjn,test_bjn,test_hug
bootstrap_rmse,4.676942548201276,5.329025812277776,4.689408723925479,4.134044331987099
bootstrap_rmse_ci_lower,3.7872433424699654,4.096464008519076,3.2328129932191176,3.5312710334973225
bootstrap_rmse_ci_upper,5.646987615702599,6.449927093639012,6.19498274862901,4.692942785481932
bootstrap_mae,3.517303704491418,4.459223870320822,3.592744524427945,3.433471128624762
bootstrap_mae_ci_lower,3.0078125731373935,3.3377898021385892,2.45080072927028,2.8684512505946618
bootstrap_mae_ci_upper,4.083145182126757,5.548485832261056,4.858648372136663,3.9480107547711323
bootstrap_correlation,0.7597665818499632,0.5418279365133309,0.703213408367994,0.5227004306760181
bootstrap_correlation_ci_lower,0.6761564327643707,0.22175404150877337,0.453882182403926,0.3325094494339907
bootstrap_correlation_ci_upper,0.8273101992572375,0.7928519073530184,0.8738156283364386,0.6892731601984875
rmse,4.700919930412203,5.354201562018806,4.786320314768764,4.135017300649777
mae,3.5154477770166257,4.457065666301103,3.6235582444419694,3.4259399794664938
correlation,0.7641984242642885,0.5585485748099064,0.7265588889025117,0.5299835492609447
correlation_p_value,3.2054213406415712e-24,0.0030202324140242904,2.6343681313123267e-05,8.50349496585247e-07
bootstrap_balanced_accuracy_10,82.35564124214525,76.92766755754565,81.48589736523367,64.20866056151252
bootstrap_balanced_accuracy_10_ci_lower,75.15839481441037,59.375,64.88095238095238,53.81611607714741
bootstrap_balanced_accuracy_10_ci_upper,88.4160236631034,92.26190476190477,95.83333333333333,74.51988636363637
bootstrap_accuracy_10,82.48416666666667,76.97692307692307,81.37692307692308,59.255263157894746
bootstrap_accuracy_10_ci_lower,75.0,61.442307692307786,65.38461538461539,47.368421052631575
bootstrap_accuracy_10_ci_upper,88.33333333333333,92.3076923076923,96.15384615384616,69.73684210526315
bootstrap_sensitivity_10,84.25275958550664,78.33688306533507,79.28965144160965,47.29662487429096
bootstrap_sensitivity_10_ci_lower,74.60317460317461,53.84615384615385,54.52797202797204,33.33333333333333
bootstrap_sensitivity_10_ci_upper,93.10344827586206,100.0,100.0,61.53846153846154
bootstrap_specificity_10,80.45852289878384,75.51845204975622,83.68214328885769,81.12069624873405
bootstrap_specificity_10_ci_lower,69.69561688311688,44.44444444444444,60.0,65.625
bootstrap_specificity_10_ci_upper,89.79678312002767,100.0,100.0,95.65217391304348
optimal_threshold_for_10,11.157020701616164,11.157020701616164,11.157020701616164,11.157020701616164
auc_10,88.28124999999999,86.30952380952381,88.09523809523809,75.05668934240362
bootstrap_auc_10,88.38817657229771,86.44681775134248,88.34861571909278,74.81947798903718
bootstrap_auc_10_ci_lower,81.8852900047672,69.04017857142858,72.92854918360992,61.79185205784204
bootstrap_auc_10_ci_upper,93.56675456337524,98.04136029411765,98.81656804733727,86.54028162511543
accuracy_10,82.5,76.92307692307693,80.76923076923077,59.210526315789465
balanced_accuracy_10,82.36607142857143,76.78571428571428,80.95238095238095,64.21012849584278
sensitivity_10,84.375,78.57142857142857,78.57142857142857,46.93877551020408
specificity_10,80.35714285714286,75.0,83.33333333333334,81.48148148148148
f1_10,83.72093023255815,78.57142857142857,81.48148148148148,59.74025974025974
bootstrap_balanced_accuracy_16,79.58250736352579,64.97468571134188,84.2210476873936,66.82984683597793
bootstrap_balanced_accuracy_16_ci_lower,72.4950284090909,44.1577380952381,73.68421052631578,53.330845771144276
bootstrap_balanced_accuracy_16_ci_upper,85.71587301587303,83.33333333333333,94.73684210526316,79.34492147197065
bootstrap_accuracy_16,73.31166666666667,61.35384615384615,76.9423076923077,70.97631578947369
bootstrap_accuracy_16_ci_lower,65.0,42.30769230769231,61.442307692307786,60.526315789473685
bootstrap_accuracy_16_ci_upper,80.83333333333333,80.76923076923077,92.3076923076923,80.29605263157892
bootstrap_sensitivity_16,93.99805573164261,74.3817354867355,100.0,59.24050481746519
bootstrap_sensitivity_16_ci_lower,84.60937500000001,39.93750000000006,100.0,33.33333333333333
bootstrap_sensitivity_16_ci_upper,100.0,100.0,100.0,82.35933503836316
bootstrap_specificity_16,65.16695899540899,55.56763593594825,68.44209537478719,74.41918885449068
bootstrap_specificity_16_ci_lower,54.75913621262459,31.25,47.368421052631575,62.89844177145982
bootstrap_specificity_16_ci_upper,74.68354430379746,78.57142857142857,89.47368421052632,84.7457627118644
optimal_threshold_for_16,11.304125450399567,11.304125450399567,11.304125450399567,11.304125450399567
auc_16,86.21751025991793,75.0,97.74436090225564,77.7666999002991
bootstrap_auc_16,86.26100530437635,74.70742279434889,97.66543044809225,77.95932207606569
bootstrap_auc_16_ci_lower,79.25675675675676,52.17164855072463,89.99999999999999,65.99137931034484
bootstrap_auc_16_ci_upper,92.20886535444302,91.671875,100.0,88.2183908045977
accuracy_16,73.33333333333333,61.53846153846154,76.92307692307693,71.05263157894737
balanced_accuracy_16,79.61696306429549,65.27777777777779,84.21052631578947,66.6999002991027
sensitivity_16,94.11764705882352,75.0,100.0,58.82352941176471
specificity_16,65.11627906976744,55.55555555555556,68.42105263157895,74.57627118644068
f1_16,66.66666666666666,54.54545454545454,70.0,47.61904761904761
