,train_internal,val_internal,test_internal,test_external
bootstrap_rmse,5.460738465415495,5.310144197082364,6.110243218213638,4.204591237064043
bootstrap_rmse_ci_lower,4.658905703940205,4.1943182948677595,4.267029613333648,3.512125720492501
bootstrap_rmse_ci_upper,6.313373617541547,6.485493996390009,8.254788481402866,4.917281841624545
bootstrap_mae,4.39436772363799,4.6449616115424375,4.969417045756368,3.383944273867832
bootstrap_mae_ci_lower,3.8489301001394245,3.6336173432097305,3.7226465361156094,2.8583164058213293
bootstrap_mae_ci_upper,4.99282889058723,5.682944591574838,6.5529637517544295,3.9586434510855497
bootstrap_correlation,0.6354622842622352,0.5006722047578769,0.5400246935535108,0.524116347705673
bootstrap_correlation_ci_lower,0.513701308918991,0.0770779717272357,0.23148570740342791,0.3364795201198605
bootstrap_correlation_ci_upper,0.743287159421915,0.8224539536214782,0.7802803615173928,0.6825448830617082
rmse,5.465763380384707,5.292388408945311,6.131127487071752,4.233992241974817
mae,4.384855961792588,4.595108774327611,4.938958372532145,3.3992845727174803
correlation,0.6381226453180636,0.5211748518791023,0.5462049598969803,0.5265981676361529
correlation_p_value,7.714712435577346e-15,0.006330004010672493,0.0038925036732046802,1.0277389899578088e-06
bootstrap_balanced_accuracy_10,78.0836683858035,72.09286533937825,77.54713933039784,70.74565100541949
bootstrap_balanced_accuracy_10_ci_lower,70.3359729554506,53.84615384615385,60.11904761904761,60.04796411318149
bootstrap_balanced_accuracy_10_ci_upper,85.24111276455027,89.28571428571428,92.26304945054946,80.34769463340892
bootstrap_accuracy_10,78.10593220338983,72.55384615384615,77.53076923076922,69.74605263157896
bootstrap_accuracy_10_ci_lower,70.33898305084746,53.84615384615385,61.53846153846154,59.210526315789465
bootstrap_accuracy_10_ci_upper,85.59322033898306,88.46153846153845,92.3076923076923,78.94736842105263
bootstrap_sensitivity_10,78.34803360947544,78.20879570196857,79.35996764501408,67.31267884308117
bootstrap_sensitivity_10_ci_lower,68.41885964912281,54.54545454545454,54.54545454545454,53.3265306122449
bootstrap_sensitivity_10_ci_upper,87.93425115800308,100.0,100.0,80.00980392156862
bootstrap_specificity_10,77.81930316213156,65.97693497678793,75.7343110157816,74.17862316775782
bootstrap_specificity_10_ci_lower,66.66666666666666,38.43750000000002,46.15384615384615,56.66304347826087
bootstrap_specificity_10_ci_upper,88.88888888888889,91.66666666666666,100.0,89.47822141560798
optimal_threshold_for_10,12.203742219478338,12.203742219478338,12.203742219478338,12.203742219478338
auc_10,81.53935185185185,75.59523809523809,79.76190476190477,74.82993197278911
bootstrap_auc_10,81.61976181160173,74.95083426826076,80.18053580051303,75.00165751686173
bootstrap_auc_10_ci_lower,73.05208983414069,52.975315126050425,59.973214285714306,62.58662132719398
bootstrap_auc_10_ci_upper,89.41522240245881,92.90331196581198,97.38848039215686,84.95915949097713
accuracy_10,77.96610169491525,73.07692307692307,76.92307692307693,69.73684210526315
balanced_accuracy_10,77.95138888888889,72.61904761904762,76.78571428571428,70.71050642479213
sensitivity_10,78.125,78.57142857142857,78.57142857142857,67.3469387755102
specificity_10,77.77777777777779,66.66666666666666,75.0,74.07407407407408
f1_10,79.36507936507937,75.86206896551724,78.57142857142857,74.15730337078652
bootstrap_balanced_accuracy_16,76.86587090649678,67.76160964242156,72.93275120163521,70.94800875697145
bootstrap_balanced_accuracy_16_ci_lower,68.23715812059218,46.66071428571429,53.001775271512116,58.40970622119816
bootstrap_balanced_accuracy_16_ci_upper,84.81349443847306,86.8421052631579,90.97732843137254,82.3851217088922
bootstrap_accuracy_16,78.03813559322033,64.98461538461538,73.29615384615383,71.10921052631579
bootstrap_accuracy_16_ci_lower,70.33898305084746,46.15384615384615,57.59615384615393,59.210526315789465
bootstrap_accuracy_16_ci_upper,84.7457627118644,84.61538461538461,88.46153846153845,80.26315789473685
bootstrap_sensitivity_16,74.02828364007931,74.93229575979576,72.0583687250354,70.60630566290745
bootstrap_sensitivity_16_ci_lower,58.818458417849904,40.0,37.5,50.0
bootstrap_sensitivity_16_ci_upper,87.88419913419912,100.0,100.0,90.9090909090909
bootstrap_specificity_16,79.70345817291424,60.590923525047366,73.7945766623447,71.28971185103545
bootstrap_specificity_16_ci_lower,70.50925925925927,38.88888888888889,50.0,58.92857142857143
bootstrap_specificity_16_ci_upper,87.95539300057371,84.21052631578947,93.34374999999999,82.75862068965517
optimal_threshold_for_16,13.507696920879177,13.507696920879177,13.507696920879177,13.507696920879177
auc_16,80.70728291316527,73.61111111111111,77.44360902255639,74.17746759720838
bootstrap_auc_16,80.88370663145008,73.15130229292257,77.58974371930154,74.39022796509741
bootstrap_auc_16_ci_lower,72.77651515151516,46.58555665349144,57.92960662525882,58.38657977558841
bootstrap_auc_16_ci_upper,88.481952986979,95.62831439393939,92.81045751633987,87.87259197703406
accuracy_16,77.96610169491525,65.38461538461539,73.07692307692307,71.05263157894737
balanced_accuracy_16,76.64565826330532,68.05555555555556,72.55639097744361,70.88733798604187
sensitivity_16,73.52941176470588,75.0,71.42857142857143,70.58823529411765
specificity_16,79.76190476190477,61.111111111111114,73.68421052631578,71.1864406779661
f1_16,65.78947368421053,57.14285714285714,58.82352941176471,52.17391304347826
