,train_bjn,val_bjn,test_bjn,test_hug
bootstrap_rmse,5.0214964687447265,4.5180143862734266,4.696774055078253,2.969134720611071
bootstrap_rmse_ci_lower,4.125447589158699,3.307516261913286,3.264534615503705,2.5523499095368583
bootstrap_rmse_ci_upper,6.010598863379218,5.765129057644013,6.467598285290551,3.408764437172318
bootstrap_mae,3.731364935299548,3.801710629349644,3.555990179626917,2.4802609640529107
bootstrap_mae_ci_lower,3.177555405970475,2.8348550115510913,2.47168796616734,2.112067886825489
bootstrap_mae_ci_upper,4.376919562362071,4.903067781892074,4.860158772614234,2.8520500118989043
bootstrap_correlation,0.7528748988931053,0.6871089779733893,0.7767901249719072,0.7870354188418166
bootstrap_correlation_ci_lower,0.6775640342646105,0.39729209199825927,0.57613813275577,0.6830712976017176
bootstrap_correlation_ci_upper,0.8153657160645322,0.8796837557063327,0.902719833434782,0.86664949323502
rmse,5.029054621798884,4.564737660778923,4.706964581399969,2.983172364555559
mae,3.721030171794476,3.806945679621004,3.514401279954753,2.483597071061024
correlation,0.7572144431360645,0.7005682586843051,0.7927343799634766,0.7922901608899742
correlation_p_value,1.4322408376494256e-23,6.739027236648668e-05,1.3781489206358653e-06,1.5334340217806187e-17
bootstrap_balanced_accuracy_10,84.17030856065423,81.07465516267769,85.33418709279196,78.29534389444068
bootstrap_balanced_accuracy_10_ci_lower,77.55132738892117,65.38461538461539,70.6153273809524,68.25061525840853
bootstrap_balanced_accuracy_10_ci_upper,90.28141078844276,95.46401515151514,96.66666666666667,87.85817805383023
bootstrap_accuracy_10,84.04833333333333,80.9,84.80000000000001,80.4921052631579
bootstrap_accuracy_10_ci_lower,77.5,65.38461538461539,69.23076923076923,72.36842105263158
bootstrap_accuracy_10_ci_upper,90.0,96.15384615384616,96.15384615384616,88.1578947368421
bootstrap_sensitivity_10,82.5038769009075,78.41052569409398,79.18141410017572,85.91417592756292
bootstrap_sensitivity_10_ci_lower,72.30555555555556,55.55555555555556,57.14285714285714,75.47169811320755
bootstrap_sensitivity_10_ci_upper,91.30622188905546,100.0,100.0,95.55555555555556
bootstrap_specificity_10,85.83674022040096,83.73878463126142,91.48696008540823,70.67651186131847
bootstrap_specificity_10_ci_lower,75.85945663531871,58.333333333333336,71.42857142857143,53.11266447368423
bootstrap_specificity_10_ci_upper,94.23076923076923,100.0,100.0,87.5
optimal_threshold_for_10,10.90659424405032,10.90659424405032,10.90659424405032,10.90659424405032
auc_10,88.75558035714285,91.36904761904762,91.07142857142857,88.39758125472412
bootstrap_auc_10,88.71660133101685,91.49505686806259,91.26529264335662,88.69461851904123
bootstrap_auc_10_ci_lower,81.92522440211857,78.69822485207101,76.46791443850267,80.08301888463718
bootstrap_auc_10_ci_upper,94.5158868837897,100.0,100.0,95.28464368031733
accuracy_10,84.16666666666667,80.76923076923077,84.61538461538461,80.26315789473685
balanced_accuracy_10,84.26339285714286,80.95238095238095,85.11904761904762,78.04232804232805
sensitivity_10,82.8125,78.57142857142857,78.57142857142857,85.71428571428571
specificity_10,85.71428571428571,83.33333333333334,91.66666666666666,70.37037037037037
f1_10,84.8,81.48148148148148,84.61538461538461,84.84848484848484
bootstrap_balanced_accuracy_16,80.18540767863492,77.63015179542717,77.23280625268488,72.02775151952599
bootstrap_balanced_accuracy_16_ci_lower,73.74277530779754,60.11607142857143,58.48106060606061,66.07058625336927
bootstrap_balanced_accuracy_16_ci_upper,86.45863970588235,92.10526315789474,92.10526315789474,78.33928571428571
bootstrap_accuracy_16,74.275,73.79615384615384,73.12692307692306,56.58026315789474
bootstrap_accuracy_16_ci_lower,65.83333333333333,57.692307692307686,53.84615384615385,46.05263157894737
bootstrap_accuracy_16_ci_upper,81.66666666666667,88.55769230769222,88.46153846153845,67.10526315789474
bootstrap_sensitivity_16,93.89498757862091,87.69344516594518,86.09697804142249,100.0
bootstrap_sensitivity_16_ci_lower,84.84848484848484,60.0,50.0,100.0
bootstrap_sensitivity_16_ci_upper,100.0,100.0,100.0,100.0
bootstrap_specificity_16,66.4758277786489,67.56685842490917,68.39703913429639,44.055503039052
bootstrap_specificity_16_ci_lower,56.318287485470755,44.44444444444444,45.0,32.14117250673855
bootstrap_specificity_16_ci_upper,76.25347222222221,88.88888888888889,88.88888888888889,56.67857142857141
optimal_threshold_for_16,10.90659424405032,10.90659424405032,10.90659424405032,10.90659424405032
auc_16,85.12311901504789,88.54166666666666,86.46616541353383,85.19441674975074
bootstrap_auc_16,85.09363229985577,88.85180278094579,86.63970919284756,85.16133375623531
bootstrap_auc_16_ci_lower,78.53269257186358,69.56418219461698,67.359068627451,75.41536458333333
bootstrap_auc_16_ci_upper,91.41748768472905,100.0,99.99999999999999,93.95982142857142
accuracy_16,74.16666666666667,73.07692307692307,73.07692307692307,56.57894736842105
balanced_accuracy_16,80.1983584131327,77.08333333333333,77.06766917293233,72.03389830508475
sensitivity_16,94.11764705882352,87.5,85.71428571428571,100.0
specificity_16,66.27906976744185,66.66666666666666,68.42105263157895,44.06779661016949
f1_16,67.36842105263158,66.66666666666666,63.1578947368421,50.74626865671642
