,train_internal,val_internal,test_internal,test_external
bootstrap_rmse,5.249561965294988,5.421224647011924,5.1165370587047345,7.283626841167483
bootstrap_rmse_ci_lower,4.389851682111417,4.255022686230808,3.635600620432815,5.813774820220865
bootstrap_rmse_ci_upper,6.172445194086555,6.6218531970461445,6.781150994826778,8.780255335839437
bootstrap_mae,4.078266016762513,4.588805051873034,4.133249582901446,5.392234234601581
bootstrap_mae_ci_lower,3.5257890371924963,3.493832466737316,3.031965236912493,4.304059727767043
bootstrap_mae_ci_upper,4.710650499998439,5.726305243209418,5.467849214572308,6.557050203345142
bootstrap_correlation,0.6627264362073157,0.5996113877386676,0.630828486841184,0.33865962949958917
bootstrap_correlation_ci_lower,0.5467962922171661,0.29559273785237766,0.30198923803903116,0.13985155353807777
bootstrap_correlation_ci_upper,0.7593267901566305,0.8124857907357136,0.8301606994927124,0.5336943455479773
rmse,5.266333091379437,5.451474852803356,5.117323347297076,7.316639801926202
mae,4.075140325228504,4.57473152156614,4.09348070454194,5.385267625451596
correlation,0.6655522366091802,0.618895136606434,0.644953879200389,0.3425129020386627
correlation_p_value,1.1085715760798855e-16,0.0007499188860264902,0.00037495498209682985,0.002456513700538891
bootstrap_balanced_accuracy_10,78.62872527235815,80.85921161821905,81.09474173916898,59.86496578264193
bootstrap_balanced_accuracy_10_ci_lower,71.09143100881167,64.87546992481204,64.99702380952381,48.877840909090914
bootstrap_balanced_accuracy_10_ci_upper,85.69267276824931,95.84134615384615,95.45454545454545,71.16580107110896
bootstrap_accuracy_10,78.38333333333334,80.69615384615386,80.9346153846154,57.79473684210528
bootstrap_accuracy_10_ci_lower,70.83333333333334,65.38461538461539,65.38461538461539,47.368421052631575
bootstrap_accuracy_10_ci_upper,85.02083333333331,96.15384615384616,96.15384615384616,68.42105263157895
bootstrap_sensitivity_10,74.99592940211996,78.31266178684538,79.16866246369729,52.77726158936156
bootstrap_sensitivity_10_ci_lower,63.76811594202898,56.23263888888891,56.23263888888891,39.02439024390244
bootstrap_sensitivity_10_ci_upper,84.85227272727272,100.0,100.0,66.66666666666666
bootstrap_specificity_10,82.26152114259637,83.40576144959273,83.02082101464067,66.95266997592232
bootstrap_specificity_10_ci_lower,71.91729323308272,58.333333333333336,58.333333333333336,49.96212121212125
bootstrap_specificity_10_ci_upper,91.66666666666666,100.0,100.0,83.8741935483871
optimal_threshold_for_10,11.885580683122924,11.885580683122924,11.885580683122924,11.885580683122924
auc_10,83.17522321428571,86.90476190476191,89.28571428571429,60.997732426303855
bootstrap_auc_10,83.18031673761898,86.89245413902484,89.45687962988956,61.04277176553601
bootstrap_auc_10_ci_lower,74.96261961722487,70.83333333333334,73.328125,47.31856187290969
bootstrap_auc_10_ci_upper,90.01461292613635,98.80969991546915,98.7878787878788,74.51153693800752
accuracy_10,78.33333333333333,80.76923076923077,80.76923076923077,57.89473684210527
balanced_accuracy_10,78.57142857142857,80.95238095238095,80.95238095238095,59.863945578231295
sensitivity_10,75.0,78.57142857142857,78.57142857142857,53.06122448979592
specificity_10,82.14285714285714,83.33333333333334,83.33333333333334,66.66666666666666
f1_10,78.68852459016394,81.48148148148148,81.48148148148148,61.904761904761905
bootstrap_balanced_accuracy_16,80.56719948407532,68.28117581104975,74.33331720750795,55.191015908496134
bootstrap_balanced_accuracy_16_ci_lower,73.24832723057875,48.56026785714287,54.575163398692816,42.021857923497265
bootstrap_balanced_accuracy_16_ci_upper,86.54166666666667,86.8421052631579,89.47368421052632,68.62060889929742
bootstrap_accuracy_16,75.97416666666665,65.83076923076922,69.08461538461538,56.639473684210515
bootstrap_accuracy_16_ci_lower,67.5,46.15384615384615,50.0,46.019736842105296
bootstrap_accuracy_16_ci_upper,83.33333333333334,84.61538461538461,84.61538461538461,67.10526315789474
bootstrap_sensitivity_16,91.23979079220605,74.82185619935619,85.7846363401919,52.49944607147861
bootstrap_sensitivity_16_ci_lower,80.55555555555556,40.0,50.0,27.765151515151526
bootstrap_sensitivity_16_ci_upper,100.0,100.0,100.0,76.47058823529412
bootstrap_specificity_16,69.89460817594457,61.7404954227433,62.91778271116419,57.88258574551368
bootstrap_specificity_16_ci_lower,59.37414148351648,37.5,38.87820512820514,45.76271186440678
bootstrap_specificity_16_ci_upper,79.7752808988764,82.35294117647058,84.21052631578947,70.37340619307832
optimal_threshold_for_16,11.902277649034257,11.902277649034257,11.902277649034257,11.902277649034257
auc_16,85.02051983584133,76.38888888888889,91.72932330827066,65.10468594217348
bootstrap_auc_16,85.09347162754139,76.52083308100465,91.73312846042666,65.19881328534765
bootstrap_auc_16_ci_lower,77.30131749741554,54.90093954248366,71.41923436041083,50.401662049861514
bootstrap_auc_16_ci_upper,92.04590548340548,93.33660130718954,100.0,79.56373513388405
accuracy_16,75.83333333333333,65.38461538461539,69.23076923076923,56.57894736842105
balanced_accuracy_16,80.47195622435021,68.05555555555556,74.4360902255639,55.284147557328026
sensitivity_16,91.17647058823529,75.0,85.71428571428571,52.94117647058824
specificity_16,69.76744186046511,61.111111111111114,63.1578947368421,57.6271186440678
f1_16,68.13186813186813,57.14285714285714,60.0,35.294117647058826
