,train_internal,val_internal,test_internal,test_external
bootstrap_rmse,5.684306486499355,5.96603166809749,5.701978941379198,4.178794080724956
bootstrap_rmse_ci_lower,4.724585952031798,4.57745699528654,3.8551710466185423,3.6417934999481787
bootstrap_rmse_ci_upper,6.717480753008268,7.1763447785942365,7.977109951882345,4.750523631377479
bootstrap_mae,4.425245061908195,5.084457607611491,4.41784549510448,3.502022522961188
bootstrap_mae_ci_lower,3.7533332451610613,3.7827352551158118,3.0661622908281276,3.0311968183208533
bootstrap_mae_ci_upper,5.1813976367250785,6.379989081860128,6.046383931767511,4.033495735928867
bootstrap_correlation,0.6053668299370475,0.42948682563263296,0.6996316776083585,0.4749168453369099
bootstrap_correlation_ci_lower,0.46635020488965917,0.023917732458046646,0.4390571240396874,0.2870583420686843
bootstrap_correlation_ci_upper,0.7270429826184467,0.7669024948009212,0.8606690483161272,0.6363348882863676
rmse,5.739706502171374,6.0010754556315415,5.720263825586159,4.200945718618992
mae,4.448616166443101,5.076937605226053,4.377939448061555,3.515644130562767
correlation,0.6088613521321498,0.4319395112663122,0.7176440559098427,0.475885973256679
correlation_p_value,5.545331531995269e-12,0.03956993401533671,3.6776558893216444e-05,1.3941875816320838e-05
bootstrap_balanced_accuracy_10,76.07709434762967,78.10938610215894,87.47808463917404,65.5074021956656
bootstrap_balanced_accuracy_10_ci_lower,67.59151529339522,60.29990842490843,75.0,54.0991796554553
bootstrap_balanced_accuracy_10_ci_upper,84.12698412698411,95.0,100.0,76.18247204184703
bootstrap_accuracy_10,76.2695238095238,78.29565217391303,88.41538461538462,67.2
bootstrap_accuracy_10_ci_lower,68.57142857142857,60.86956521739131,73.07692307692307,56.57894736842105
bootstrap_accuracy_10_ci_upper,83.80952380952381,95.65217391304348,100.0,76.31578947368422
bootstrap_sensitivity_10,77.57947803020201,83.51824834092636,100.0,71.32151001406874
bootstrap_sensitivity_10_ci_lower,67.19945355191258,60.0,100.0,57.13474025974027
bootstrap_sensitivity_10_ci_upper,87.30654761904762,100.0,100.0,83.3409090909091
bootstrap_specificity_10,74.57471066505734,72.70052386339151,74.95616927834809,59.69329437726246
bootstrap_specificity_10_ci_lower,62.05979457079972,44.40476190476193,50.0,41.66666666666667
bootstrap_specificity_10_ci_upper,86.27673796791444,100.0,100.0,77.77777777777779
optimal_threshold_for_10,11.241050119964289,11.241050119964289,11.241050119964289,11.241050119964289
auc_10,82.72193690388848,78.03030303030303,92.26190476190477,72.94028722600152
bootstrap_auc_10,82.84218066647017,78.4451409293321,92.2758192040158,73.23975314323401
bootstrap_auc_10_ci_lower,74.76103502622212,57.13736263736264,77.77777777777779,60.63249118683902
bootstrap_auc_10_ci_upper,90.060546741219,96.15384615384616,100.0,84.50491307634165
accuracy_10,76.19047619047619,78.26086956521739,88.46153846153845,67.10526315789474
balanced_accuracy_10,76.02714600146734,78.03030303030303,87.5,65.34391534391534
sensitivity_10,77.58620689655173,83.33333333333334,100.0,71.42857142857143
specificity_10,74.46808510638297,72.72727272727273,75.0,59.25925925925925
f1_10,78.26086956521739,80.0,90.32258064516128,73.68421052631578
bootstrap_balanced_accuracy_16,70.62046518720241,67.53320080719075,76.44008453489198,67.64240514274172
bootstrap_balanced_accuracy_16_ci_lower,60.897980797174355,46.07778637770898,64.70588235294117,55.23364801429046
bootstrap_balanced_accuracy_16_ci_upper,78.85000000000001,86.84813596491227,88.64267676767676,77.86383928571426
bootstrap_accuracy_16,66.71523809523808,65.68260869565218,65.6730769230769,59.501315789473686
bootstrap_accuracy_16_ci_lower,58.0952380952381,47.82608695652174,46.15384615384615,48.68421052631579
bootstrap_accuracy_16_ci_upper,75.26190476190474,82.6086956521739,84.61538461538461,71.05263157894737
bootstrap_sensitivity_16,79.4394940775976,72.03941669441669,100.0,82.38393075054972
bootstrap_sensitivity_16_ci_lower,65.21739130434783,33.33333333333333,100.0,63.14144736842107
bootstrap_sensitivity_16_ci_upper,93.10344827586206,100.0,100.0,100.0
bootstrap_specificity_16,61.801436296807275,63.026984919964804,52.93016906978396,52.90087953493373
bootstrap_specificity_16_ci_lower,50.66666666666667,40.0,29.411764705882355,40.38377192982456
bootstrap_specificity_16_ci_upper,72.5,85.73809523809521,77.28535353535352,66.14247311827955
optimal_threshold_for_16,11.483148261563333,11.483148261563333,11.483148261563333,11.483148261563333
auc_16,76.17967332123412,62.5,86.46616541353383,70.28913260219342
bootstrap_auc_16,76.2043926157248,63.26504471062133,86.32668945105668,70.54570066312358
bootstrap_auc_16_ci_lower,65.5823051948052,36.8421052631579,68.17852437417655,55.18283984579446
bootstrap_auc_16_ci_upper,85.9513451818595,86.15686274509802,98.34147869674186,84.38918696246283
accuracy_16,66.66666666666666,65.21739130434783,65.38461538461539,59.210526315789465
balanced_accuracy_16,70.57622504537206,66.96428571428572,76.3157894736842,67.44765702891327
sensitivity_16,79.3103448275862,71.42857142857143,100.0,82.35294117647058
specificity_16,61.8421052631579,62.5,52.63157894736842,52.54237288135594
f1_16,56.79012345679012,55.55555555555556,60.86956521739131,47.45762711864407
